epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.449,0.28823,0.98264,1.02097,0.99972,1,0.995,0.97455,0.3634,0.87752,0.80631,0.000663492,0.000663492,0.000663492
2,68.56,0.22282,0.51361,0.95134,0.99975,1,0.995,0.99224,0.28907,0.66534,0.63131,0.00130382,0.00130382,0.00130382
3,101.797,0.23115,0.43315,0.94334,0.99976,1,0.995,0.995,0.21572,0.57501,0.54516,0.00191775,0.00191775,0.00191775
4,133.552,0.22352,0.37981,0.95569,0.9998,1,0.995,0.99011,0.24584,0.38085,0.59188,0.0018812,0.0018812,0.0018812
5,164.583,0.1827,0.34664,0.93255,0.99915,1,0.995,0.995,0.21832,0.38282,0.53349,0.0018416,0.0018416,0.0018416
6,196.235,0.17865,0.31179,0.92555,0.99963,1,0.995,0.995,0.16083,0.27722,0.4741,0.001802,0.001802,0.001802
7,227.32,0.15492,0.28777,0.91662,0.99945,1,0.995,0.995,0.15339,0.26781,0.46874,0.0017624,0.0017624,0.0017624
8,258.989,0.14976,0.26494,0.90501,0.99977,1,0.995,0.995,0.17667,0.24378,0.50249,0.0017228,0.0017228,0.0017228
9,291.454,0.14439,0.2464,0.90412,0.99977,1,0.995,0.995,0.17177,0.23809,0.47714,0.0016832,0.0016832,0.0016832
10,324.112,0.13934,0.23462,0.90812,0.99618,0.9996,0.995,0.995,0.15761,0.30991,0.47803,0.0016436,0.0016436,0.0016436
11,356.221,0.13339,0.22138,0.9111,0.9998,1,0.995,0.995,0.16038,0.23322,0.48366,0.001604,0.001604,0.001604
12,387.14,0.12344,0.22103,0.90385,0.99978,1,0.995,0.995,0.14062,0.22929,0.46089,0.0015644,0.0015644,0.0015644
13,417.428,0.11679,0.21438,0.90883,0.99971,1,0.995,0.995,0.1645,0.28913,0.46311,0.0015248,0.0015248,0.0015248
14,447.85,0.10907,0.2078,0.8986,0.99979,1,0.995,0.995,0.14066,0.21786,0.43964,0.0014852,0.0014852,0.0014852
15,479.391,0.10981,0.19619,0.88757,0.99977,1,0.995,0.93351,0.14583,0.20694,0.486,0.0014456,0.0014456,0.0014456
16,510.124,0.10732,0.20091,0.8963,0.99977,1,0.995,0.995,0.14921,0.23634,0.45343,0.001406,0.001406,0.001406
17,541.112,0.0998,0.18586,0.89769,0.99979,1,0.995,0.995,0.1598,0.2296,0.47328,0.0013664,0.0013664,0.0013664
18,573.049,0.10178,0.18643,0.89749,0.99979,1,0.995,0.995,0.13326,0.21627,0.44136,0.0013268,0.0013268,0.0013268
19,606.362,0.10173,0.17948,0.89725,0.9998,1,0.995,0.995,0.13266,0.20265,0.45528,0.0012872,0.0012872,0.0012872
20,638.205,0.09161,0.17762,0.89019,0.99965,1,0.995,0.995,0.12979,0.19002,0.43799,0.0012476,0.0012476,0.0012476
21,671.502,0.09541,0.17998,0.88706,0.99979,1,0.995,0.995,0.13662,0.19918,0.45569,0.001208,0.001208,0.001208
22,703.229,0.09567,0.18009,0.89297,0.99973,1,0.995,0.99435,0.15938,0.17167,0.45769,0.0011684,0.0011684,0.0011684
23,734.165,0.0912,0.17299,0.89158,0.9998,1,0.995,0.995,0.15552,0.19485,0.45867,0.0011288,0.0011288,0.0011288
24,766.449,0.09105,0.17482,0.89848,0.99979,1,0.995,0.99032,0.17161,0.20069,0.48768,0.0010892,0.0010892,0.0010892
25,798.104,0.08095,0.16747,0.89837,0.99967,1,0.995,0.995,0.11958,0.18914,0.42783,0.0010496,0.0010496,0.0010496
26,831.206,0.0793,0.16681,0.88736,0.99979,1,0.995,0.99491,0.13788,0.17695,0.45839,0.00101,0.00101,0.00101
27,863.225,0.0783,0.16232,0.88568,0.9998,1,0.995,0.995,0.13348,0.18155,0.45815,0.0009704,0.0009704,0.0009704
28,895.277,0.07852,0.16042,0.89235,0.9998,1,0.995,0.995,0.11401,0.17224,0.43274,0.0009308,0.0009308,0.0009308
29,927.078,0.07404,0.14967,0.89378,0.9998,1,0.995,0.995,0.11477,0.16139,0.44013,0.0008912,0.0008912,0.0008912
30,959.659,0.06697,0.14503,0.8899,0.9998,1,0.995,0.995,0.10884,0.17726,0.42178,0.0008516,0.0008516,0.0008516
31,991.48,0.0683,0.14401,0.88437,0.9998,1,0.995,0.995,0.1053,0.18325,0.41064,0.000812,0.000812,0.000812
32,1024.24,0.06659,0.13868,0.89122,0.9998,1,0.995,0.995,0.11111,0.19675,0.4241,0.0007724,0.0007724,0.0007724
33,1057.07,0.06725,0.13447,0.89304,0.9998,1,0.995,0.995,0.12104,0.1587,0.44008,0.0007328,0.0007328,0.0007328
34,1085.6,0.062,0.13476,0.88387,0.98481,1,0.99496,0.98608,0.13395,0.20745,0.44928,0.0006932,0.0006932,0.0006932
35,1116.25,0.05985,0.13617,0.88339,0.9998,1,0.995,0.995,0.10755,0.19424,0.41995,0.0006536,0.0006536,0.0006536
36,1148.12,0.06034,0.13468,0.88484,0.9998,1,0.995,0.995,0.11321,0.16927,0.43673,0.000614,0.000614,0.000614
37,1179.31,0.05535,0.12303,0.88148,0.9998,1,0.995,0.995,0.10167,0.15596,0.41737,0.0005744,0.0005744,0.0005744
38,1210.76,0.05247,0.12702,0.88301,0.9998,1,0.995,0.995,0.11233,0.20865,0.42956,0.0005348,0.0005348,0.0005348
39,1242.92,0.05189,0.12628,0.87651,0.99979,1,0.995,0.995,0.10703,0.16645,0.4191,0.0004952,0.0004952,0.0004952
40,1274.69,0.05275,0.12556,0.88854,0.9998,1,0.995,0.995,0.0965,0.14859,0.4084,0.0004556,0.0004556,0.0004556
