epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.723,0.27747,1.13023,1.02168,1,0.99991,0.995,0.99487,0.33286,1.28344,0.77017,0.000654088,0.000654088,0.000654088
2,632.521,0.19134,0.54575,0.93178,0.99981,1,0.995,0.995,0.32873,0.80032,0.75795,0.00105925,0.00105925,0.00105925
3,944.562,0.1691,0.44113,0.92242,0.99974,1,0.995,0.99469,0.23586,0.6625,0.66138,0.0012004,0.0012004,0.0012004
4,1255.84,0.13626,0.36876,0.90587,0.99925,1,0.995,0.99483,0.16129,0.48825,0.57439,0.000812,0.000812,0.000812
5,1568.95,0.10535,0.32487,0.902,0.99966,1,0.995,0.995,0.14108,0.49356,0.54585,0.000416,0.000416,0.000416
